Intent,Text
Treatment_Info,Diyabet hastalığı için uygulanan en son tedavi protokolleri nelerdir?
Refusal,* Bu konu hakkında konuşmak rahat hissetmiyorum.
Treatment_Info,- Migren ağrıları için etkili tedavi yöntemleri nelerdir?
Disease_Info,"1. Sedef nedir, hangi tür bir hastalıktır?"
Refusal,Başka bir soru sorabilir miyim
Treatment_Info,Astım için en etkili tedavi nedir
Greeting,"Merhaba, nasılsınız?"
Disease_Info,Hipertansiyon hakkında biraz daha bilgi edinmek istiyorum.
Appointment_Info,Sağlık randevusu için MHRS'yi kullanabilir miyim?
Greeting,- Selamlar
Refusal,6. Bu şekilde ifade etmek istemiyorum.
Goodbye,Görüşürüz
Treatment_Info,10. Tansiyonu kontrol altında tutmanın ipuçları nelerdir?
Refusal,7. Özel bir durumu ifşa etmek istemiyorum.
Goodbye,"- Görüşmek üzere, sağlıkla kalın"
Symptoms,"7. Boğazımda rahatsızlık var, ayrıca ateşim de var"
Refusal,1. Bu ifadeyi kullanmak istemiyorum.
Treatment_Info,10. Grip tedavisinde kullanılan ilaçların çeşitleri hakkında bilgi verir misiniz?
Refusal,6. Konuyla ilgili detaylı bilgi vermek istemiyorum.
Symptoms,- Ateşim var ve boğazımda rahatsız edici bir ağrı var.
Treatment_Info,- Migrenin tedavisinde hangi yöntemler kullanılır?
Appointment_Info,9. En yakın hastanenin adresi nedir?
Treatment_Info,5. Astım tedavisinde en etkili olan seçenek nedir?
Goodbye,Güle güle
Refusal,"1. Özel bir konu, detay vermek istemiyorum."
Greeting,Günaydın!
Symptoms,Sürekli bir öksürük hali var.
Appointment_Info,MHRS üzerinden bir randevu talebinde bulunmak istiyorum.
Goodbye,Sonra görüşürüz
Treatment_Info,2. En etkili astım tedavi seçeneği nedir?
Disease_Info,Alzheimer hastalığı hakkında bana bazı ana hatları verir misiniz?
Disease_Info,1. Şeker hastalığı olan diyabet hakkında bilgi verir misiniz?
Refusal,*   Bu konu hakkında konuşmak istemiyorum.
Goodbye,- Güle güle
Symptoms,10. Karnımda ağrı hissetmeye başladığımdan beri iki gün geçti.
Appointment_Info,1. Bir doktor randevusu nasıl ayarlayabilirim?
Disease_Info,- Migren belirtilerine dair detaylı bilgi paylaşabilir misiniz?
Goodbye,2. Kendinize iyi bakın!
Treatment_Info,- Diyabet tedavisinde hangi yenilikçi yaklaşımlar mevcut?
Treatment_Info,Hipertansiyon tedavisi hakkında bilgi almak istiyorum.
Disease_Info,Diyabetin tanımı nedir?
Disease_Info,10. Diyabet konusunda beni bilgilendirebilir misiniz?
Treatment_Info,- Migren ağrıları için en etkili tedavi seçenekleri hangileridir?
Goodbye,- Yine gelin
Symptoms,- Ateşim çıktı ve boğazımda da bir ağrı hissediyorum.
Disease_Info,"4. Hipertansiyon nedir, bana açıklayabilir misiniz?"
Treatment_Info,Astım için bir tedavi planı nasıl oluşturabilirim?
Symptoms,6. Karnımda ağrı hissetmeye başlayalı iki gün oldu.
Symptoms,- Yüksek ateşim var ve boğazım da acıyor.
Symptoms,"4. Başımın ağrısı beni rahatsız ediyor, acil bir çözüm bulmalıyım."
Goodbye,- Şimdilik hoşça kalın
Appointment_Info,5. Hastaneye gitmek için en yakın yer neresi?
Greeting,"- Günaydın, ne haber?"
Appointment_Info,Göz doktoru için nasıl randevu alabilirim
Appointment_Info,8. Göz doktoruna gitmek için nasıl randevu ayarlayabilirim?
Disease_Info,- Alzheimer hastalığı nedir konusunda bilgi verir misiniz?
Appointment_Info,10. Sağlık randevusu için MHRS platformunu tercih etme
Refusal,"Bu konu hakkında konuşmak istemiyorum, teşekkürler."
Goodbye,Sağlıcakla kal.
Disease_Info,Bana hipertansiyonla ilgili bazı bilgiler verebilir misiniz?
Goodbye,4. Sağlıklı günler dilerim!
Goodbye,- İyi günler dilerim
Treatment_Info,Migrenle başa çıkmak için hangi tedavi yöntemleri işe yarar?
Appointment_Info,MHRS'den bir tıbbi randevu ayarlamak istiyorum.
Symptoms,"Başım durmadan ağrıyor, ne yapmalıyım?"
Refusal,4. Bu meseleyi bir kenara bırakalım.
Disease_Info,3. Diyabet hakkında ayrıntılı bilgi alabilir miyim?
Symptoms,"10. Baş ağrım beni rahatsız ediyor, bir çözüm bulmak zorundayım."
Appointment_Info,8. En yakın sağlık tesisine nasıl gidebilirim?
Symptoms,"2. Başımın ağrısı dayanılmaz bir hal aldı, ne önerirsiniz?"
Disease_Info,- Migren belirtileri konusunda bilgi sahibi olabilir miyim?
Goodbye,- Sağlıkla kalın
Refusal,8. Özel bir konuda konuşmak istemiyorum.
Greeting,3. Günaydın
Greeting,Selamlar!
Disease_Info,Migren rahatsızlığının belirtileri nelerdir?
Symptoms,İki gündür karnımda geçmeyen bir ağrı var.
Appointment_Info,MHRS'den bir randevu ayarlamam gerekiyor.
Disease_Info,Hipertansiyon hakkında ne biliyorsun?
Symptoms,Başım çok ağrıyor ne yapmalıyım
Treatment_Info,Yüksek tansiyonla başa çıkmak için hangi tıbbi yaklaşımlar vardır?
Goodbye,Allaha ısmarladık.
Goodbye,- İyi günler dilerim
Greeting,"- Günaydın, nasılsınız?"
Goodbye,- Hoşça kalın dostlar
Refusal,"*   Bu benim için çok hassas, konuşmayalım."
Appointment_Info,Acil servise gitmem gerekir mi
Goodbye,"Teşekkür ederim, iyi günler"
Appointment_Info,4. Doktor görüşmesi için nasıl bir randevu ayarlayabilirim?
Appointment_Info,MHRS üzerinden bir doktor randevusu oluşturmak mümkün mü?
Disease_Info,Bana hipertansiyon hakkında genel bir bakış sunabilir misin?
Greeting,"7. Hey, sağlık uzmanı"
Disease_Info,- Alzheimer hastalığıyla ilgili ne söyleyebilirsiniz?
Refusal,Bu konu hakkında konuşmak istemiyorum.
Disease_Info,Sedef hastalığına dair detaylı bilgi arıyorum.
Greeting,İyi geceler!
Greeting,Merhaba!
Symptoms,"9. Öksürük beni çok rahatsız ediyor, ne yapabilirim?"
Appointment_Info,2. Doktora gitmek için nasıl bir randevu alabilirim?
Greeting,1. Merhaba
Disease_Info,Sedef hastalığı nasıl bir hastalıktır
Refusal,"Elbette, başka bir konu hakkında da soru sormak özgürsün."
Treatment_Info,Diyabet tedavisinde çığır açan yeni yaklaşımlar var mı?
Disease_Info,Sedef hastalığı ile ilgili temel bilgiler nelerdir?
Symptoms,5. Dizim ağrı ve şişkinlikle rahatsız.
Greeting,- Günaydın
Refusal,3. Bu konuya artık dönmeyelim.
Symptoms,Öksürüğüm hiç dinmiyor.
Greeting,İyi günler!
Symptoms,"6. Baş ağrım insana işkence edercesine şiddetli, ne yapmalıyım?"
Treatment_Info,- Diyabet hastaları için yeni tedavi seçenekleri neler olabilir?
Appointment_Info,6. Muayene için nasıl bir doktor randevusu alabilirim?
Greeting,İyi akşamlar!
Symptoms,Durmadan öksürmekten boğazım ağrıyor.
Disease_Info,6. Diyabet hakkında bilgi verme şansınız var mı?
Symptoms,Son iki gündür karın ağrısı çekiyorum.
Goodbye,Tekrar görüşmek dileğiyle.
Greeting,Merhaba!
Treatment_Info,- Migren ağrılarına karşı hangi ilaçlar önerilir?
Symptoms,"Ağır bir baş ağrısıyla karşı karşıyayım, nasıl rahatlayabilirim?"
Refusal,8. Bu ifadeyi kullanmak istemiyorum.
Treatment_Info,Astımımı tedavi etmenin yolları nelerdir?
Goodbye,- Hoşça kal
Greeting,"- Selamlar, bugün nasıl geçiyor?"
Appointment_Info,8. Randevu almak için doktora nasıl ulaşabilirim?
Treatment_Info,9. Grip için en etkili ilaçlar nelerdir?
Disease_Info,- Migrenin belirtileri nedir acaba?
Refusal,4. Bu konuda bilgi paylaşmak istemiyorum.
Goodbye,- Görüşmek üzere
Disease_Info,Migrenin karakteristik özellikleri nelerdir?
Symptoms,1. Son iki gün boyunca mide bölgem rahatsız edici bir şekilde acıyor.
Appointment_Info,2. Acil servise başvurmalı mıyım?
Appointment_Info,5. Doktor randevusu için nasıl rezervasyon yapabilirim?
Refusal,"Evet, farklı bir soru sormak senin hakkın."
Symptoms,"Karnım iki gündür ağrıyor, endişelenmeli miyim?"
Greeting,Burada olduğuma memnun oldum.
Disease_Info,Alzheimer hastalığı hakkında bana bilgi sağlayabilir misiniz?
Appointment_Info,Doktor randevusu için uygun bir zaman ayarlayabilir miyiz?
Greeting,9. Naber?
Treatment_Info,- Diyabet tedavisinde kullanılan ilaçların dışında başka seçenekler var mı?
Goodbye,Gitmem gerek artık
Disease_Info,Hipertansiyon hakkında bilgi alabilir miyim
Treatment_Info,Grip için hangi ilaçlar kullanılır
Greeting,Hey
Symptoms,Karnım ağrıyor ve bu durum iki gündür devam ediyor.
Disease_Info,Hipertansiyonun ne olduğuyla ilgili bilgiye ihtiyacım var.
Symptoms,İki gündür karnım ağrıyor
Appointment_Info,MHRS üzerinden randevu alma
Goodbye,İyi günler dilerim
Refusal,1. Bilgi paylaşmak istemiyorum.
Disease_Info,3. Tansiyon yüksekliği konusunda bana bilgi verebilir misiniz?
Greeting,İyi akşamlar!
Treatment_Info,Kan basıncımı nasıl düşürebilirim?
Disease_Info,- Alzheimer hastalığıyla ilgili bilgi alabilir miyim?
Greeting,1. Selam hekim
Disease_Info,Alzheimer hastalığı hakkında bana bazı temel bilgileri verir misiniz?
Goodbye,- Kendine iyi bak
Refusal,Bu konuyu geçelim
Symptoms,"Başım çok fena ağrıyor, bana yardımcı olabilir misiniz?"
Refusal,*   Bu bilgiyi kendime saklamak istiyorum.
Greeting,Günaydın
Goodbye,Ben kaçar
Goodbye,Kendine iyi bak
Greeting,- Tünaydın
Greeting,"Selam, size nasıl yardımcı olabilirim?"
Greeting,- Naber?
Disease_Info,Sedef hastalığı hakkında kısa bir özet rica edebilir miyim?
Treatment_Info,5. Hangi ilaçlar grip semptomlarını hafifletmek için kullanılır?
Greeting,3. İyi günler doktor
Disease_Info,"Tabii, işte Hipertansiyon hakkında bilgi alabileceğiniz 10 farklı şekilde ifade edilmiş mesaj:"
Symptoms,4. Karnımda rahatsızlık veren bir ağrı var ve bu durum iki gündür devam ediyor.
Symptoms,- Vücut ısım arttı ve boğazımda bir sorun var gibi.
Disease_Info,Sedef hastalığı hakkında genel bir bilgi alabilir miyim?
Refusal,Şimdilik başka bir sorum yok.
Refusal,2. Özel bir durum hakkında konuşmak istemiyorum.
Goodbye,- Görüşmek dileğiyle
Refusal,2. Konu hakkında bilgi vermek istemiyorum.
Symptoms,- Hem ateşim var hem de boğazım çok kötü ağrıyor.
Symptoms,Diz kapağımda ağrı ve şişme sorunları yaşıyorum.
Greeting,Merhaba!
Greeting,- Selam
Goodbye,Güle güle.
Treatment_Info,Astımımı tedavi etmek için ameliyat gerekli mi?
Disease_Info,Alzheimer hastalığı hakkında bana bir şeyler öğretebilir misiniz?
Treatment_Info,Grip tedavisinde kullanılan ilaçlar nelerdir?
Appointment_Info,9. MHRS üzerinden doktor görüşmesi ayarlama
Disease_Info,Diyabetin ne olduğunu merak ediyorum.
Greeting,Selam!
Symptoms,"5. Boğazımda ağrı var, aynı zamanda ateşim de var"
