Question,Answer,Response Time (s),Model
Marmara Üniversitesi'nde akademik personel görevlendirme kriterleri nelerdir?,"Marmara Üniversitesi'nde akademik personel görevlendirme kriterleri, Üniversite Senatosu tarafından belirlenen yönergeler ve ilgili mevzuata dayanarak belirlenmektedir. Akademik personel görevlendirmesi genellikle öğretim üyeleri, öğretim görevlileri, okutmanlar ve öğretim yardımcıları arasından yapılır. Görevlendirme süreci, akademik başarı, deneyim, eğitim seviyesi, yayın sayısı gibi kriterler göz önünde bulundurularak gerçekleştirilir. Bu kriterler, Marmara Üniversitesi'nin ilgili yönetmeliklerinde detaylı olarak açıklanmaktadır.",5.047373294830322,OpenAI
Öğretim üyeleri yurt dışına nasıl görevlendirilebilir?,"Öğretim üyeleri yurt dışına görevlendirme işlemleri genellikle Üniversite IAESTE temsilcisi tarafından belirlenen prosedürlere göre gerçekleştirilir. Yurt dışındaki stajlar için öğrencilerin başvuruları incelenir ve onaylanır. Yurt dışında staj yapmak isteyen öğrenciler, Hayat Boyu Öğrenme (LLP) ERASMUS programı kapsamında veya Bölüm Staj Komisyonunun yazılı onayı ile kendi girişimleri sonucu buldukları yerlerde staj yapabilirler. Öğretim üyelerinin yurt dışına görevlendirilmesi genellikle bu tür programlar kapsamında gerçekleşebilir.",5.2564356327056885,OpenAI
Rektörlük yurt dışı görevlendirmelerde hangi yetkilere sahiptir?,"Marmara Üniversitesi Rektörlüğü, yurt dışı görevlendirmelerde yetkili kişileri belirleme, bu görevlendirmeleri onaylama ve koordinasyonu sağlama gibi yetkilere sahiptir. Yurt dışı stajlarının kabulü, staj dosyalarının incelenmesi ve öğrencilerin yurtdışında staj yapabilmesi için gerekli belgelerin değerlendirilmesi gibi konularda Rektörlük yetkilidir. Ayrıca, uluslararası öğrenci değişim programlarına ilişkin prosedürlerin belirlenmesi ve uygulanması da Rektörlük tarafından yürütülmektedir.",3.207350969314575,OpenAI
Akademik personel yabancı dil eğitimi için yurt dışına nasıl gönderilebilir?,"Akademik personel yabancı dil eğitimi için yurt dışına gönderilmesi, Üniversite IAESTE (International Association for the Exchange of Students for Technical Experience) temsilcisi tarafından belirlenen prosedüre göre gerçekleştirilir. Bu süreç, Staj Fakülte Yönetim Kurulu kararları çerçevesinde uygulanır. Akademik personelin yurt dışına gönderilmesi için IAESTE tarafından belirlenen prosedürün takip edilmesi gerekmektedir.",4.126484155654907,OpenAI
Marmara Üniversitesi'nde bir araştırma görevlisi hangi şartlar altında görevlendirilebilir?,"Marmara Üniversitesi'nde bir araştırma görevlisi, öğrencilerin stajları sırasında danışmanları mazeretli olduğunda, geçici olarak bir öğretim elemanı tarafından görevlendirilebilir. Bu görevlendirme ilgili öğrencilere duyurulur ve öğrencilerin stajlarına devam etmeleri sağlanır. Bu durum, Marmara Üniversitesi Teknoloji Fakültesi Staj Yönergesi'nde belirtilmiştir.",2.5838522911071777,OpenAI
Kısa süreli görevlendirme nedir ve süresi ne kadardır?,"Kısa süreli görevlendirme, danışmanın mazereti kabul edildiğinde geçici olarak bir öğretim elemanının görevlendirilmesidir. Bu görevlendirme herhangi bir zaman diliminde yapılabilir ve öğrencilere duyurulur. Süresi, danışmanın mazereti sona erene kadar devam eder.",3.1134440898895264,OpenAI
Uzun süreli görevlendirme nedir ve süresi ne kadardır?,"Uzun süreli görevlendirme, Marmara Üniversitesi Teknoloji Fakültesi öğrencilerinin isteğe bağlı stajları için en az 14 iş günü olup, en fazla 36 iş günüdür. İsteğe bağlı stajlar, öğrencinin mezun oluncaya kadar devam edebilir.",4.527680158615112,OpenAI
Doktora eğitimi için yurt dışına görevlendirme süreci nasıl işler?,"Doktora eğitimi için yurt dışına görevlendirme süreci genellikle üniversitenin ilgili birimleri tarafından belirlenen prosedürlere göre yürütülür. Öğrenciler genellikle uluslararası değişim programları veya burslar aracılığıyla yurt dışında doktora eğitimi alabilirler. Bu süreçte öğrencilerin akademik danışmanları ve ilgili bölüm koordinatörleri ile iletişim halinde olmaları önemlidir. Yurt dışına görevlendirme süreci, öğrencinin akademik performansı, araştırma konusu, hedef ülke ve üniversite gibi faktörlere bağlı olarak değişebilir. Bu nedenle, öğrencilerin üniversitelerinin uluslararası ilişkiler birimleri veya doktora programları koordinatörleri ile iletişime geçerek detaylı bilgi alması önerilir.",5.1576738357543945,OpenAI
Marmara Üniversitesi'nde mali hak ve sosyal güvenlik hakları nasıl düzenlenir?,"Marmara Üniversitesi'nde mali hak ve sosyal güvenlik hakları, 2547 sayılı Yükseköğretim Kanunu, 5510 sayılı Sosyal Sigortalar ve Genel Sağlık Sigortası Kanunu, 3308 sayılı Meslekî Eğitim Kanunu'nun ilgili maddeleri ve Marmara Üniversitesi Ön Lisans ve Lisans Eğitim-Öğretim ve Sınav Yönetmeliği'ne dayanarak düzenlenmektedir. Bu yönergelerde belirtilen hükümler çerçevesinde öğrencilerin mali hakları ve sosyal güvenlik hakları belirlenmekte ve uygulanmaktadır.",3.5194826126098633,OpenAI
Yurt dışı görevlendirmelerde üniversitedeki ders yükümlülükleri nasıl düzenlenir?,"Yurt dışı görevlendirmelerde üniversitedeki ders yükümlülükleri, Marmara Üniversitesi'nin Yönergesi ve ilgili mevzuat hükümleri doğrultusunda belirlenir. Öğrencilerin yurtdışında staj yapmak istemeleri durumunda, IAESTE veya ERASMUS gibi programlar aracılığıyla staj yapma imkanına sahip olabilirler. Staj yapacak öğrencilerin staj kabulü, staj dosyası ve yabancı ülkeden getirecekleri belgeler Bölüm Staj Komisyonu tarafından incelenir ve onaylanır. Yurtdışında staj yapacak öğrenciler, staj süresince derslerinden başarılı olsalar bile staj yapacakları süreler için kayıt yaptırmak ve katkı paylarını ödemek zorundadırlar. Yurt dışı stajlarının denkliği ise Fakülte Yönetim Kurulu tarafından belirlenir. Bu konuda detaylı bilgi ve düzenlemeler, ilgili yönergelerde yer alan hükümlere göre uygulanır.",4.640149116516113,OpenAI
